,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
0,no-support_0,no-support,,598833566,100,0,800,8,500,0.05,1,2000,8,1,42,387.0,34.45,[],[],0,True
1,no-support_1,no-support,,994418656,100,0,800,8,500,0.05,1,2000,8,1,42,512.0,42.17,[],[],0,True
2,no-support_2,no-support,,311714726,100,0,800,8,500,0.05,1,2000,8,1,42,459.0,40.78,[],[],0,True
3,no-support_3,no-support,,1054670589,100,0,800,8,500,0.05,1,2000,8,1,42,312.0,36.97,[],[],0,True
4,no-support_4,no-support,,-495190046,100,0,800,8,500,0.05,1,2000,8,1,42,526.0,44.09,[],[],0,True
5,no-support_5,no-support,,1189397545,100,0,800,8,500,0.05,1,2000,8,1,42,529.0,43.51,[],[],0,True
6,no-support_6,no-support,,-1391278863,100,0,800,8,500,0.05,1,2000,8,1,42,1032.0,102.67,[],[],0,True
7,no-support_7,no-support,,-2120312475,100,0,800,8,500,0.05,1,2000,8,1,42,542.0,41.39,[],[],0,True
8,no-support_8,no-support,,-2049851399,100,0,800,8,500,0.05,1,2000,8,1,42,521.0,46.71,[],[],0,True
9,no-support_9,no-support,,-2034339686,100,0,800,8,500,0.05,1,2000,8,1,42,279.0,36.32,[],[],0,True
10,no-support_10,no-support,,398048796,100,0,800,8,500,0.05,1,2000,8,1,42,376.0,38.24,[],[],0,True
11,no-support_11,no-support,,-159264458,100,0,800,8,500,0.05,1,2000,8,1,42,531.0,43.72,[],[],0,True
12,no-support_12,no-support,,-2086604104,100,0,800,8,500,0.05,1,2000,8,1,42,511.0,42.67,[],[],0,True
13,no-support_13,no-support,,967223640,100,0,800,8,500,0.05,1,2000,8,1,42,558.0,44.88,[],[],0,True
14,no-support_14,no-support,,2121874694,100,0,800,8,500,0.05,1,2000,8,1,42,265.0,25.91,[],[],0,True
15,no-support_15,no-support,,-2071044051,100,0,800,8,500,0.05,1,2000,8,1,42,547.0,41.25,[],[],0,True
16,no-support_16,no-support,,1174340671,100,0,800,8,500,0.05,1,2000,8,1,42,316.0,31.42,[],[],0,True
17,no-support_17,no-support,,-175274730,100,0,800,8,500,0.05,1,2000,8,1,42,643.0,50.51,[],[],0,True
18,no-support_18,no-support,,-380237073,100,0,800,8,500,0.05,1,2000,8,1,42,538.0,40.2,[],[],0,True
19,no-support_19,no-support,,-1256900842,100,0,800,8,500,0.05,1,2000,8,1,42,509.0,37.21,[],[],0,True
20,no-support_20,no-support,,2134788008,100,0,800,8,500,0.05,1,2000,8,1,42,528.0,49.86,[],[],0,True
21,no-support_21,no-support,,279579139,100,0,800,8,500,0.05,1,2000,8,1,42,526.0,42.76,[],[],0,True
22,no-support_22,no-support,,-2005584917,100,0,800,8,500,0.05,1,2000,8,1,42,516.0,39.08,[],[],0,True
23,no-support_23,no-support,,85142662,100,0,800,8,500,0.05,1,2000,8,1,42,526.0,37.43,[],[],0,True
24,no-support_24,no-support,,-764429784,100,0,800,8,500,0.05,1,2000,8,1,42,563.0,67.72,[],[],0,True
25,no-support_25,no-support,,439059529,100,0,800,8,500,0.05,1,2000,8,1,42,531.0,40.68,[],[],0,True
26,no-support_26,no-support,,2125840342,100,0,800,8,500,0.05,1,2000,8,1,42,513.0,36.04,[],[],0,True
27,no-support_27,no-support,,1212789579,100,0,800,8,500,0.05,1,2000,8,1,42,264.0,27.96,[],[],0,True
28,no-support_28,no-support,,184644263,100,0,800,8,500,0.05,1,2000,8,1,42,537.0,41.14,[],[],0,True
29,no-support_29,no-support,,-1758876895,100,0,800,8,500,0.05,1,2000,8,1,42,342.0,39.21,[],[],0,True
30,no-support_30,no-support,,1453503457,100,0,800,8,500,0.05,1,2000,8,1,42,539.0,46.54,[],[],0,True
31,no-support_31,no-support,,-357092976,100,0,800,8,500,0.05,1,2000,8,1,42,527.0,50.88,[],[],0,True
32,no-support_32,no-support,,1593978731,100,0,800,8,500,0.05,1,2000,8,1,42,310.0,41.75,[],[],0,True
33,no-support_33,no-support,,77315352,100,0,800,8,500,0.05,1,2000,8,1,42,552.0,48.15,[],[],0,True
34,no-support_34,no-support,,2116144301,100,0,800,8,500,0.05,1,2000,8,1,42,520.0,51.81,[],[],0,True
35,no-support_35,no-support,,-114751396,100,0,800,8,500,0.05,1,2000,8,1,42,520.0,47.73,[],[],0,True
36,no-support_36,no-support,,-339517628,100,0,800,8,500,0.05,1,2000,8,1,42,264.0,38.49,[],[],0,True
37,no-support_37,no-support,,-1670081308,100,0,800,8,500,0.05,1,2000,8,1,42,514.0,43.64,[],[],0,True
38,no-support_38,no-support,,1034720131,100,0,800,8,500,0.05,1,2000,8,1,42,542.0,51.69,[],[],0,True
39,no-support_39,no-support,,-880133610,100,0,800,8,500,0.05,1,2000,8,1,42,550.0,49.51,[],[],0,True
40,no-support_40,no-support,,1596042446,100,0,800,8,500,0.05,1,2000,8,1,42,,120.32,[],[],0,False
41,no-support_41,no-support,,1688222894,100,0,800,8,500,0.05,1,2000,8,1,42,541.0,51.81,[],[],0,True
42,no-support_42,no-support,,-1867649757,100,0,800,8,500,0.05,1,2000,8,1,42,296.0,33.45,[],[],0,True
