,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
0,no-support_0,no-support,,-1207807381,50,0,800,10,500,0.05,1,2000,8,2,8967,268,35.31,[],[],0,True
1,no-support_1,no-support,,-792368376,50,0,800,10,500,0.05,1,2000,8,2,8967,1019,103.47,[],[],0,True
2,no-support_2,no-support,,-20676663,50,0,800,10,500,0.05,1,2000,8,2,8967,1035,101.48,[],[],0,True
3,no-support_3,no-support,,-66166063,50,0,800,10,500,0.05,1,2000,8,2,8967,512,46.0,[],[],0,True
4,no-support_4,no-support,,429628137,50,0,800,10,500,0.05,1,2000,8,2,8967,570,49.78,[],[],0,True
5,no-support_5,no-support,,-799265193,50,0,800,10,500,0.05,1,2000,8,2,8967,541,48.49,[],[],0,True
6,no-support_6,no-support,,1783571257,50,0,800,10,500,0.05,1,2000,8,2,8967,378,38.55,[],[],0,True
7,no-support_7,no-support,,-1506790944,50,0,800,10,500,0.05,1,2000,8,2,8967,254,35.49,[],[],0,True
8,no-support_8,no-support,,-809848072,50,0,800,10,500,0.05,1,2000,8,2,8967,310,36.9,[],[],0,True
9,no-support_9,no-support,,-614455004,50,0,800,10,500,0.05,1,2000,8,2,8967,372,40.26,[],[],0,True
10,no-support_10,no-support,,1828517127,50,0,800,10,500,0.05,1,2000,8,2,8967,555,45.27,[],[],0,True
11,no-support_11,no-support,,1656258876,50,0,800,10,500,0.05,1,2000,8,2,8967,524,45.26,[],[],0,True
12,no-support_12,no-support,,1398172709,50,0,800,10,500,0.05,1,2000,8,2,8967,552,47.86,[],[],0,True
13,no-support_13,no-support,,-1714437294,50,0,800,10,500,0.05,1,2000,8,2,8967,536,46.46,[],[],0,True
14,no-support_14,no-support,,-1413363835,50,0,800,10,500,0.05,1,2000,8,2,8967,533,46.52,[],[],0,True
15,no-support_15,no-support,,1153484291,50,0,800,10,500,0.05,1,2000,8,2,8967,515,45.68,[],[],0,True
16,no-support_16,no-support,,-1029802839,50,0,800,10,500,0.05,1,2000,8,2,8967,534,46.82,[],[],0,True
17,no-support_17,no-support,,-1944440313,50,0,800,10,500,0.05,1,2000,8,2,8967,545,80.31,[],[],0,True
18,no-support_18,no-support,,38196769,50,0,800,10,500,0.05,1,2000,8,2,8967,522,48.32,[],[],0,True
19,no-support_19,no-support,,478676962,50,0,800,10,500,0.05,1,2000,8,2,8967,281,33.69,[],[],0,True
20,no-support_20,no-support,,-809200056,50,0,800,10,500,0.05,1,2000,8,2,8967,435,34.21,[],[],0,True
21,no-support_21,no-support,,-552940440,50,0,800,10,500,0.05,1,2000,8,2,8967,529,33.94,[],[],0,True
22,no-support_22,no-support,,-960060870,50,0,800,10,500,0.05,1,2000,8,2,8967,263,24.84,[],[],0,True
23,no-support_23,no-support,,157337563,50,0,800,10,500,0.05,1,2000,8,2,8967,521,36.49,[],[],0,True
24,no-support_24,no-support,,-1289318606,50,0,800,10,500,0.05,1,2000,8,2,8967,512,37.33,[],[],0,True
25,no-support_25,no-support,,2135858950,50,0,800,10,500,0.05,1,2000,8,2,8967,510,39.51,[],[],0,True
26,no-support_26,no-support,,-631686426,50,0,800,10,500,0.05,1,2000,8,2,8967,1026,98.65,[],[],0,True
27,no-support_27,no-support,,-344006783,50,0,800,10,500,0.05,1,2000,8,2,8967,560,40.21,[],[],0,True
28,no-support_28,no-support,,-1823242460,50,0,800,10,500,0.05,1,2000,8,2,8967,571,39.23,[],[],0,True
29,no-support_29,no-support,,1617739310,50,0,800,10,500,0.05,1,2000,8,2,8967,513,39.15,[],[],0,True
30,no-support_30,no-support,,-1039908371,50,0,800,10,500,0.05,1,2000,8,2,8967,555,38.96,[],[],0,True
31,no-support_31,no-support,,-1819107453,50,0,800,10,500,0.05,1,2000,8,2,8967,533,39.88,[],[],0,True
32,no-support_32,no-support,,1835217700,50,0,800,10,500,0.05,1,2000,8,2,8967,508,36.87,[],[],0,True
33,no-support_33,no-support,,543859826,50,0,800,10,500,0.05,1,2000,8,2,8967,571,37.65,[],[],0,True
34,no-support_34,no-support,,-292055716,50,0,800,10,500,0.05,1,2000,8,2,8967,527,38.01,[],[],0,True
35,no-support_35,no-support,,1506316208,50,0,800,10,500,0.05,1,2000,8,2,8967,513,36.28,[],[],0,True
36,no-support_36,no-support,,-2103100905,50,0,800,10,500,0.05,1,2000,8,2,8967,446,32.89,[],[],0,True
37,no-support_37,no-support,,-745396256,50,0,800,10,500,0.05,1,2000,8,2,8967,268,27.74,[],[],0,True
38,no-support_38,no-support,,-1097012991,50,0,800,10,500,0.05,1,2000,8,2,8967,523,39.07,[],[],0,True
39,no-support_39,no-support,,2075978490,50,0,800,10,500,0.05,1,2000,8,2,8967,506,37.14,[],[],0,True
40,no-support_40,no-support,,733796552,50,0,800,10,500,0.05,1,2000,8,2,8967,536,44.79,[],[],0,True
41,no-support_41,no-support,,-716079575,50,0,800,10,500,0.05,1,2000,8,2,8967,418,55.73,[],[],0,True
42,no-support_42,no-support,,1141179321,50,0,800,10,500,0.05,1,2000,8,2,8967,550,60.8,[],[],0,True
43,no-support_43,no-support,,-1394111842,50,0,800,10,500,0.05,1,2000,8,2,8967,324,30.86,[],[],0,True
44,no-support_44,no-support,,-477732765,50,0,800,10,500,0.05,1,2000,8,2,8967,538,35.33,[],[],0,True
45,no-support_45,no-support,,1892512170,50,0,800,10,500,0.05,1,2000,8,2,8967,569,110.02,[],[],0,True
46,no-support_46,no-support,,189188236,50,0,800,10,500,0.05,1,2000,8,2,8967,564,61.64,[],[],0,True
47,no-support_47,no-support,,2025094764,50,0,800,10,500,0.05,1,2000,8,2,8967,528,38.81,[],[],0,True
48,no-support_48,no-support,,178379459,50,0,800,10,500,0.05,1,2000,8,2,8967,539,37.5,[],[],0,True
49,no-support_49,no-support,,-1604653588,50,0,800,10,500,0.05,1,2000,8,2,8967,552,35.68,[],[],0,True
50,staff-support_0,staff-support,AlwaysCallStaffStrategy,-1207807381,50,1,800,10,500,0.05,1,2000,8,2,8967,357,32.37,[],[],0,True
51,staff-support_1,staff-support,AlwaysCallStaffStrategy,-792368376,50,1,800,10,500,0.05,1,2000,8,2,8967,367,32.93,['call-staff'],[],1,True
