,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
0,no-support@fall-length=100$fall-chance=0.05_0,no-support@fall-length=100$fall-chance=0.05,,-1207807381,30,0,800,10,100,0.05,1,2000,8,False,8967,268.0,16.83,[],[],0,True
1,no-support@fall-length=100$fall-chance=0.05_1,no-support@fall-length=100$fall-chance=0.05,,-792368376,30,0,800,10,100,0.05,1,2000,8,False,8967,322.0,20.86,[],[],0,True
2,no-support@fall-length=100$fall-chance=0.05_2,no-support@fall-length=100$fall-chance=0.05,,-20676663,30,0,800,10,100,0.05,1,2000,8,False,8967,302.0,20.91,[],[],0,True
3,no-support@fall-length=100$fall-chance=0.05_3,no-support@fall-length=100$fall-chance=0.05,,-66166063,30,0,800,10,100,0.05,1,2000,8,False,8967,363.0,17.52,[],[],0,True
4,no-support@fall-length=100$fall-chance=0.05_4,no-support@fall-length=100$fall-chance=0.05,,429628137,30,0,800,10,100,0.05,1,2000,8,False,8967,289.0,18.47,[],[],0,True
5,no-support@fall-length=100$fall-chance=0.05_5,no-support@fall-length=100$fall-chance=0.05,,-799265193,30,0,800,10,100,0.05,1,2000,8,False,8967,270.0,17.34,[],[],0,True
6,no-support@fall-length=100$fall-chance=0.05_6,no-support@fall-length=100$fall-chance=0.05,,1783571257,30,0,800,10,100,0.05,1,2000,8,False,8967,378.0,16.81,[],[],0,True
7,no-support@fall-length=100$fall-chance=0.05_7,no-support@fall-length=100$fall-chance=0.05,,-1506790944,30,0,800,10,100,0.05,1,2000,8,False,8967,254.0,17.07,[],[],0,True
8,no-support@fall-length=100$fall-chance=0.05_8,no-support@fall-length=100$fall-chance=0.05,,-809848072,30,0,800,10,100,0.05,1,2000,8,False,8967,310.0,16.18,[],[],0,True
9,no-support@fall-length=100$fall-chance=0.05_9,no-support@fall-length=100$fall-chance=0.05,,-614455004,30,0,800,10,100,0.05,1,2000,8,False,8967,372.0,16.78,[],[],0,True
10,no-support@fall-length=100$fall-chance=0.05_10,no-support@fall-length=100$fall-chance=0.05,,1828517127,30,0,800,10,100,0.05,1,2000,8,False,8967,276.0,17.5,[],[],0,True
11,no-support@fall-length=100$fall-chance=0.05_11,no-support@fall-length=100$fall-chance=0.05,,1656258876,30,0,800,10,100,0.05,1,2000,8,False,8967,499.0,18.82,[],[],0,True
12,no-support@fall-length=100$fall-chance=0.05_12,no-support@fall-length=100$fall-chance=0.05,,1398172709,30,0,800,10,100,0.05,1,2000,8,False,8967,376.0,18.18,[],[],0,True
13,no-support@fall-length=100$fall-chance=0.05_13,no-support@fall-length=100$fall-chance=0.05,,-1714437294,30,0,800,10,100,0.05,1,2000,8,False,8967,322.0,17.62,[],[],0,True
14,no-support@fall-length=100$fall-chance=0.05_14,no-support@fall-length=100$fall-chance=0.05,,-1413363835,30,0,800,10,100,0.05,1,2000,8,False,8967,230.0,11.57,[],[],0,True
